                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.77161,                0.81176,                 1.1262,                0.82944,                0.73863,                0.81228,                0.62154,                 1.0349,                 1.0878,                 1.3168,              9.902e-05,              9.902e-05,              9.902e-05
                     71,                0.79275,                 0.8274,                 1.1423,                0.80157,                0.74442,                 0.7964,                0.61083,                 1.0444,                 1.1505,                 1.3338,             9.6021e-05,             9.6021e-05,             9.6021e-05
                     72,                0.77231,                0.82318,                 1.1308,                0.77066,                0.77904,                0.80903,                0.62566,                 1.0342,                 1.1356,                 1.3143,             9.3021e-05,             9.3021e-05,             9.3021e-05
                     73,                0.78263,                0.80476,                 1.1372,                0.84079,                0.77456,                 0.8232,                0.63242,                 1.0625,                 1.0941,                 1.3277,             9.0021e-05,             9.0021e-05,             9.0021e-05
                     74,                 0.7865,                0.80744,                  1.127,                 0.7865,                0.77487,                0.80597,                0.62188,                 1.0427,                 1.1533,                 1.3214,             8.7022e-05,             8.7022e-05,             8.7022e-05
                     75,                0.76901,                0.80992,                 1.1257,                0.77257,                0.77713,                0.80666,                0.62955,                 1.0413,                 1.1288,                 1.3189,             8.4022e-05,             8.4022e-05,             8.4022e-05
                     76,                0.77986,                0.79999,                  1.124,                0.80103,                0.75488,                0.80336,                0.61915,                 1.0452,                 1.1364,                 1.3269,             8.1022e-05,             8.1022e-05,             8.1022e-05
                     77,                0.75785,                0.78376,                 1.1248,                0.77239,                0.76107,                0.80644,                0.61671,                  1.039,                 1.1213,                 1.3216,             7.8023e-05,             7.8023e-05,             7.8023e-05
                     78,                0.77084,                0.77748,                 1.1244,                0.72942,                0.78001,                0.80427,                0.62108,                 1.0367,                 1.1145,                 1.3051,             7.5023e-05,             7.5023e-05,             7.5023e-05
                     79,                0.76515,                0.78779,                 1.1231,                0.83266,                0.72653,                0.80902,                0.62517,                 1.0557,                 1.1426,                 1.3236,             7.2023e-05,             7.2023e-05,             7.2023e-05
                     80,                0.75682,                0.79183,                 1.1209,                0.80587,                0.74254,                0.80482,                0.62097,                 1.0362,                 1.1757,                 1.3175,             6.9023e-05,             6.9023e-05,             6.9023e-05
                     81,                0.75025,                0.76795,                 1.1206,                0.81712,                0.75621,                0.81985,                0.62865,                 1.0385,                 1.1106,                 1.3228,             6.6024e-05,             6.6024e-05,             6.6024e-05
                     82,                  0.762,                0.78593,                 1.1255,                0.82151,                0.73378,                0.81837,                0.63416,                 1.0444,                 1.1093,                 1.3236,             6.3024e-05,             6.3024e-05,             6.3024e-05
